trajectory_id,seed,arm,original_role,v2_role,anchor,bank,bank_role,contrast,group,delta_X,delta_S,delta_W,delta_I,delta_v,baseline_v,candidate_v,baseline_qX,candidate_qX,q_denominator_status,e_norm,inference_alias,T_minus_B_minus_C_maxabs
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,joint_1_minus_joint_0,0,-0.00028931925369656914,-0.001162836390283122,0.003161111312786938,-0.001708955668807196,0.001708955668807196,0.8896754265343446,0.8913843822031517,0.07656798878732432,0.07609662025027936,PRESENT,0.04980000192210499,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,joint_1_minus_joint_0,1,-0.00028829659891791554,-0.0011375619207544528,0.0030646683116729106,-0.001638809792000582,0.001638809792000582,0.8896505151672832,0.8912893249592838,0.07654698482647214,0.07608277804690752,PRESENT,0.04980000192210499,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,joint_1_minus_joint_0,2,-0.0003184048870458743,-0.001148150872048553,0.0031274256891569516,-0.0016608699300625395,0.0016608699300625395,0.889365537191711,0.8910264071217735,0.07455568915356006,0.07405937143980719,PRESENT,0.04980000192210499,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,joint_1_minus_joint_0,3,-0.0003158208938871971,-0.0011218200142526268,0.003037106901302904,-0.0015994659931630945,0.0015994659931630945,0.8892982488119732,0.8908977148051362,0.07459537911581142,0.07410695753968782,PRESENT,0.04980000192210499,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,joint_1_minus_joint_0,4,-0.00026743220607629054,-0.0011869014550751305,0.003155393006162003,-0.0017010593450105663,0.0017010593450105663,0.8903028817537364,0.8920039410987469,0.07461792989421044,0.07417582228138711,PRESENT,0.04980000192210499,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,joint_1_minus_joint_0,5,-0.0002687299298222631,-0.001173960213638429,0.003102255674580722,-0.0016595655311200546,0.0016595655311200546,0.8905618615979493,0.8922214271290693,0.07470182277439574,0.07426168259386444,PRESENT,0.04980000192210499,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,no_x_off_1_minus_joint_0,0,-4.433849484730689e-05,-0.0001664288210599142,0.0008611285225914309,-0.0006503612066841197,0.0006503612066841197,0.8896754265343446,0.8903257877410287,0.07656798878732432,0.0764622574407492,PRESENT,0.019250471956248964,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,no_x_off_1_minus_joint_0,1,-4.494192927106144e-05,-0.00016298819351678173,0.0008283747665792279,-0.0006204446437913801,0.0006204446437913801,0.8896505151672832,0.8902709598110746,0.07654698482647214,0.07644315677840838,PRESENT,0.019250471956248964,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,no_x_off_1_minus_joint_0,2,-3.814316292546221e-05,-0.00016770256369204545,0.0008425737428710093,-0.0006367280162534784,0.0006367280162534784,0.889365537191711,0.8900022652079644,0.07455568915356006,0.07445949292763177,PRESENT,0.019250471956248964,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,no_x_off_1_minus_joint_0,3,-3.878138122720882e-05,-0.00016269742926057829,0.0008112167159028219,-0.0006097379054150868,0.0006097379054150868,0.8892982488119732,0.8899079867173882,0.07459537911581142,0.07450068953812401,PRESENT,0.019250471956248964,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,no_x_off_1_minus_joint_0,4,-2.9306400654236405e-05,-0.00017616875284629077,0.0008644492374313046,-0.0006589740839308016,0.0006589740839308016,0.8903028817537364,0.8909618558376672,0.07461792989421044,0.07452984791613596,PRESENT,0.019250471956248964,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,0,fit,no_x_off_1_minus_joint_0,5,-3.0529177503435756e-05,-0.00017610329744335845,0.0008491182478110314,-0.0006424857728641874,0.0006424857728641874,0.8905618615979493,0.8912043473708134,0.07470182277439574,0.07461371275106085,PRESENT,0.019250471956248964,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,joint_1_minus_joint_0,0,-2.0634417277762964e-05,-9.144297923242144e-05,0.00039324793138670317,-0.00028117053487656846,0.00028117053487656846,0.8897438044357376,0.8900249749706142,0.07656647331202601,0.07651910087336619,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,joint_1_minus_joint_0,1,-2.1674991301480016e-05,-8.91319204818705e-05,0.0003764322475479641,-0.00026562533576452227,0.00026562533576452227,0.8896991908618399,0.8899648161976045,0.0765513597320723,0.07650415677396771,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,joint_1_minus_joint_0,2,-1.988230865674715e-05,-0.00010849709889082745,0.00040208069765862437,-0.0002737012901110428,0.0002737012901110428,0.8894380141778998,0.8897117154680108,0.07455646364477164,0.07451118098945532,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,joint_1_minus_joint_0,3,-2.0454262396518475e-05,-0.00010403960703473979,0.0003881432603336509,-0.0002636493909023822,0.0002636493909023822,0.8893465959802676,0.88961024537117,0.0745996590638359,0.07455455794536409,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,joint_1_minus_joint_0,4,-1.1488979066525079e-05,-0.0001305144649329214,0.00042715860332709344,-0.00028515515932773367,0.00028515515932773367,0.8903564405075826,0.8906415956669103,0.0746161033351862,0.07457931396215343,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,joint_1_minus_joint_0,5,-1.2690319301694265e-05,-0.00012940430158580338,0.00041648860099837326,-0.00027439398011092645,0.00027439398011092645,0.8906042076548509,0.8908786016349619,0.07470396365000757,0.07466670982310368,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,no_x_off_1_minus_joint_0,0,-2.0634417277762964e-05,-9.144297923242144e-05,0.00039324793138670317,-0.00028117053487656846,0.00028117053487656846,0.8897438044357376,0.8900249749706142,0.07656647331202601,0.07651910087336619,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,no_x_off_1_minus_joint_0,1,-2.1674991301480016e-05,-8.91319204818705e-05,0.0003764322475479641,-0.00026562533576452227,0.00026562533576452227,0.8896991908618399,0.8899648161976045,0.0765513597320723,0.07650415677396771,PRESENT,0.02789840392157928,False,0.0
seed101_X_BASE,101,X_BASE,development_fit,legacy_diagnostic,8,1,fit,no_x_off_1_minus_joint_0,2,-1.988230865674715e-05,-0.00010849709889082745,0.00040208069765862437,-0.0002737012901110428,0.0002737012901110428,0.8894380141778998,0.8897117154680108,0.07455646364477164,0.07451118098945532,PRESENT,0.02789840392157928,False,0.0
