method,observation,n,matched_rows,actual_rank_equals_k,max_diff_pX_error_ss,max_diff_pX_truth_ss,max_diff_pX_error_q95,max_diff_pX_mae,max_diff_v_error_ss,max_diff_v_truth_ss,max_diff_v_error_q95,max_diff_v_mae,max_diff_predicted_difference_norm,max_diff_event_error_ss
C5,O_LR_ORIGIN,16,96,True,1.3552527156068805e-20,0.0,5.421010862427522e-20,2.710505431213761e-20,9.999054535747565e-17,0.0,9.996344030316351e-17,2.710505431213761e-20,2.220446049250313e-16,1.1102230246251565e-16
C5,O_LR_ORIGIN,64,96,True,1.3552527156068805e-20,0.0,2.710505431213761e-20,5.421010862427522e-20,1.0842021724855044e-19,0.0,1.0018028073766061e-16,2.710505431213761e-20,2.220446049250313e-16,1.0408340855860843e-16
C5,O_LR_ORIGIN,256,96,True,1.6940658945086007e-20,0.0,9.999054535747565e-17,4.0657581468206416e-20,1.4907779871675686e-19,0.0,9.996344030316351e-17,6.776263578034403e-20,1.1102230246251565e-16,1.0408340855860843e-16
C6,O_LR_MIX,16,96,True,1.3552527156068805e-20,0.0,1.2197274440461925e-19,2.710505431213761e-20,6.776263578034403e-20,0.0,9.996344030316351e-17,1.3552527156068805e-20,2.220446049250313e-16,1.1102230246251565e-16
C6,O_LR_MIX,64,96,True,1.3552527156068805e-20,0.0,1.0842021724855044e-19,5.421010862427522e-20,2.303929616531697e-19,0.0,0.0,2.710505431213761e-20,1.6653345369377348e-16,1.1102230246251565e-16
C6,O_LR_MIX,256,96,True,1.3552527156068805e-20,0.0,1.0842021724855044e-19,5.421010862427522e-20,9.486769009248164e-20,0.0,0.0,4.0657581468206416e-20,1.942890293094024e-16,1.1102230246251565e-16
