role,configuration_id,method,observation,n,rank,alpha,eta,fit_banks,target,population,seed_count,seed_ids,unit_count,noise_replica_count,metric_row_count,actual_rank_min,actual_rank_max,k_min,k_max,metric_scope,group_index,pX_error_ss,pX_truth_ss,pX_nrmse,pX_nrmse_status,pX_mae,pX_error_q95,pX_max_abs_error,pX_scalar_error_count,pX_worst_group_by_mae,pX_worst_group_mae,pX_worst_group_by_q95,pX_worst_group_q95,v_error_ss,v_truth_ss,v_nrmse,v_nrmse_status,v_mae,v_error_q95,v_max_abs_error,v_scalar_error_count,v_worst_group_by_mae,v_worst_group_mae,v_worst_group_by_q95,v_worst_group_q95,pX_group_nrmse_unknown_count,pX_worst_defined_group_nrmse,pX_worst_defined_group_by_nrmse,v_group_nrmse_unknown_count,v_worst_defined_group_nrmse,v_worst_defined_group_by_nrmse,group_name,pX_q95_pp,v_q95_pp,pX_rmse,v_rmse,pX_signal_rms,v_signal_rms,pX_q95_times_tolerance,v_q95_times_tolerance
fresh_locked_test,C3|O_LR_MIX|256|FULL|1e-05|0.01|2,C3,O_LR_MIX,256,FULL,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0002902908972754,0.000788143599512,0.6068956608058369,DEFINED,0.00010270241276,0.0003581509419024,0.0007231882401785,11520,3.0,0.0001090849350724,1.0,0.0003805999252558,0.0054188503478176,0.0231330023953591,0.4839913247331167,DEFINED,0.0004449022747574,0.0012956432398848,0.0031840639847147,11520,3.0,0.0004643337823748,2.0,0.0013810695323328,,,,,,,,0.035815094190239996,0.12956432398848,0.0001587414961839273,0.0006858471512769606,0.00026156307654788443,0.0014170649683755308,2.8652075352192,10.3651459190784
fresh_locked_test,C3|O_LR_MIX|64|FULL|1e-05|0.01|2,C3,O_LR_MIX,64,FULL,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0002951102205036,0.000788143599512,0.6119126744992609,DEFINED,0.0001037965128873,0.0003550415458076,0.0007231882401785,11520,1.0,0.0001104404375545,2.0,0.0003784447698762,0.0054744378217829,0.0231330023953591,0.4864674228915764,DEFINED,0.0004474431679979,0.0013257046963528,0.0033189005686774,11520,3.0,0.0004677358984952,2.0,0.0013969588689955,,,,,,,,0.035504154580760006,0.13257046963528002,0.00016005376172067152,0.0006893559432355756,0.00026156307654788443,0.0014170649683755308,2.8403323664608,10.6056375708224
fresh_locked_test,C3|O_LR_ORIGIN|16|FULL|1e-05|0.01|2,C3,O_LR_ORIGIN,16,FULL,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0003572281392596,0.000788143599512,0.6732403765202578,DEFINED,0.0001134371824347,0.0003989956748843,0.0008363638195499,11520,2.0,0.0001196229153601,0.0,0.0004270214011732,0.0056153568824771,0.0231330023953591,0.4926887889203544,DEFINED,0.0004530516070027,0.0013779732220594,0.0036601718596723,11520,3.0,0.0004789687759255,3.0,0.0014747511249628,,,,,,,,0.03989956748843,0.13779732220594,0.00017609482413889099,0.0006981720230903965,0.00026156307654788443,0.0014170649683755308,3.1919653990744,11.023785776475199
fresh_locked_test,C3|O_LR_ORIGIN|256|FULL|1e-05|0.01|2,C3,O_LR_ORIGIN,256,FULL,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0002876504212471,0.000788143599512,0.6041292044970176,DEFINED,0.0001022052453326,0.0003585097772756,0.0007231882401785,11520,1.0,0.0001088864256201,0.0,0.000383189668577,0.0054153469413476,0.0231330023953591,0.4838348438947494,DEFINED,0.000445198301547,0.001296245302529,0.0031799062186019,11520,3.0,0.0004652066682847,2.0,0.0013735643099921,,,,,,,,0.035850977727560004,0.1296245302529,0.00015801789336067007,0.0006856254077626915,0.00026156307654788443,0.0014170649683755308,2.8680782182048,10.369962420232
fresh_locked_test,C3|O_LR_ORIGIN|64|FULL|1e-05|0.01|2,C3,O_LR_ORIGIN,64,FULL,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0003004962133101,0.000788143599512,0.6174713694795771,DEFINED,0.0001044280423126,0.0003605267127963,0.0007231882401785,11520,2.0,0.000111135308033,0.0,0.0003934337375091,0.0054623450323152,0.0231330023953591,0.4859298334079821,DEFINED,0.0004465207041256,0.0013280211461147,0.0032439669716929,11520,3.0,0.0004681654057475,3.0,0.0013967169142169,,,,,,,,0.03605267127963,0.13280211461146998,0.00016150771108131015,0.000688594144011006,0.00026156307654788443,0.0014170649683755308,2.8842137023704,10.6241691689176
fresh_locked_test,C5|O_LR_ORIGIN|16|4|1e-05|0.01|2,C5,O_LR_ORIGIN,16,4,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0003572281392596,0.000788143599512,0.6732403765202578,DEFINED,0.0001134371824347,0.0003989956748843,0.0008363638195499,11520,2.0,0.0001196229153601,0.0,0.0004270214011732,0.0056153568824771,0.0231330023953591,0.4926887889203544,DEFINED,0.0004530516070027,0.0013779732220594,0.0036601718596723,11520,3.0,0.0004789687759255,3.0,0.0014747511249628,,,,,,,,0.03989956748843,0.13779732220594,0.00017609482413889099,0.0006981720230903965,0.00026156307654788443,0.0014170649683755308,3.1919653990744,11.023785776475199
fresh_locked_test,C5|O_LR_ORIGIN|256|4|1e-05|0.01|2,C5,O_LR_ORIGIN,256,4,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0002876504212471,0.000788143599512,0.6041292044970177,DEFINED,0.0001022052453326,0.0003585097772756,0.0007231882401785,11520,1.0,0.0001088864256201,0.0,0.000383189668577,0.0054153469413476,0.0231330023953591,0.4838348438947495,DEFINED,0.000445198301547,0.001296245302529,0.0031799062186019,11520,3.0,0.0004652066682847,2.0,0.0013735643099921,,,,,,,,0.035850977727560004,0.1296245302529,0.00015801789336067007,0.0006856254077626915,0.00026156307654788443,0.0014170649683755308,2.8680782182048,10.369962420232
fresh_locked_test,C5|O_LR_ORIGIN|64|4|1e-05|0.01|2,C5,O_LR_ORIGIN,64,4,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0003004962133101,0.000788143599512,0.6174713694795771,DEFINED,0.0001044280423126,0.0003605267127963,0.0007231882401785,11520,2.0,0.000111135308033,0.0,0.0003934337375091,0.0054623450323152,0.0231330023953591,0.485929833407982,DEFINED,0.0004465207041256,0.0013280211461147,0.0032439669716929,11520,3.0,0.0004681654057475,3.0,0.0013967169142169,0.0,0.6330193621265852,0.0,0.0,0.4999727420176437,3.0,,0.03605267127963,0.13280211461146998,0.00016150771108131015,0.000688594144011006,0.00026156307654788443,0.0014170649683755308,2.8842137023704,10.6241691689176
fresh_locked_test,C6|O_LR_MIX|16|4|1e-05|0.01|2,C6,O_LR_MIX,16,4,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0003476875597216,0.000788143599512,0.6641893375314701,DEFINED,0.0001113084291461,0.0003906038330858,0.0009674336416094,11520,2.0,0.0001212714833372,2.0,0.0004189268930087,0.00557965696376,0.0231330023953591,0.4911201446678671,DEFINED,0.0004520010640645,0.0013798932011557,0.0033863062743078,11520,3.0,0.0004691402645188,2.0,0.001443871024977,,,,,,,,0.03906038330858,0.13798932011557,0.00017372740653503376,0.0006959491522723561,0.00026156307654788443,0.0014170649683755308,3.1248306646864,11.0391456092456
fresh_locked_test,C6|O_LR_MIX|256|4|1e-05|0.01|2,C6,O_LR_MIX,256,4,1e-05,0.01,2.0,joint_1_minus_joint_0,all,10,"[601, 602, 603, 604, 605, 606, 607, 608, 609, 610]",60,8,480,0.0,4.0,0.0,4.0,pooled,,0.0002902908972754,0.000788143599512,0.6068956608058369,DEFINED,0.00010270241276,0.0003581509419024,0.0007231882401785,11520,3.0,0.0001090849350724,1.0,0.0003805999252558,0.0054188503478176,0.0231330023953591,0.4839913247331167,DEFINED,0.0004449022747574,0.0012956432398848,0.0031840639847147,11520,3.0,0.0004643337823748,2.0,0.0013810695323328,,,,,,,,0.035815094190239996,0.12956432398848,0.0001587414961839273,0.0006858471512769606,0.00026156307654788443,0.0014170649683755308,2.8652075352192,10.3651459190784
