method,observation,metric,n64_nrmse,n256_nrmse,n256_to_n64_ratio,relative_reduction
C5,O_LR_ORIGIN,pX,0.6174713694795771,0.6041292044970177,0.9783922532411428,0.021607746758857238
C5,O_LR_ORIGIN,v,0.485929833407982,0.4838348438947495,0.9956886995421959,0.004311300457804146
C6,O_LR_MIX,pX,0.6119126744992609,0.6068956608058369,0.9918010953155538,0.008198904684446173
C6,O_LR_MIX,v,0.4864674228915764,0.4839913247331167,0.9949100432178136,0.005089956782186378
D_DIRECT,O_LR_ORIGIN,pX,0.3105684958480202,0.1514396416663043,0.4876207461184756,0.5123792538815244
D_DIRECT,O_LR_ORIGIN,v,0.0966674151428872,0.0474869322699181,0.4912403233263882,0.5087596766736118
D_DIRECT,O_LR_MIX,pX,0.304699611347894,0.1543530973672124,0.5065746447276499,0.4934253552723501
D_DIRECT,O_LR_MIX,v,0.0973180233717645,0.0485843927523447,0.49923324651537054,0.5007667534846294
