observation,method,rank_cap,diagnostic,covariance_source,blocks,training_seed_count,projector_distance_mean,scope,pX_nrmse,v_nrmse
O_LR_MIX,C6,FULL,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,3.672130668102087e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.2941701935987984,0.1937257978798205
O_LR_MIX,C6,FULL,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,3.545048383637296e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.34418080564086595,0.20291126589554692
O_LR_MIX,C6,FULL,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,3.672130668102087e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3441728161305848,0.2029570956581856
O_LR_MIX,C6,1,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,1.820036052861463e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4433494070599453,0.33095768208254356
O_LR_MIX,C6,1,EXACT_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,1.5692714917742416e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.39813482053402083,0.3407428603969049
O_LR_MIX,C6,1,FINITE_U_EXACT_COEFFICIENTS,EXACT_ORACLE,288,6,0.08098481043549492,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.4367996473745519,0.3279600713051509
O_LR_MIX,C6,1,FINITE_U_EXACT_COEFFICIENTS,FINITE_PAID,288,6,0.08086180346040088,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.43253636340257473,0.32536695363277773
O_LR_MIX,C6,1,FINITE_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,0.08098481043549492,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.44445774135471566,0.32960124181221073
O_LR_MIX,C6,1,FINITE_U_FINITE_COEFFICIENTS,FINITE_PAID,288,6,0.08086180346040088,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3998851554446925,0.3393247550410832
O_LR_MIX,C6,2,EXACT_U_FINITE_COEFFICIENTS,EXACT_ORACLE,288,6,2.2706201787806927e-08,PRIMARY_CONTRAST_LEGACY_DEVELOPMENT_ORACLE_ISOLATION_ONLY,0.3135611625370443,0.1964255914478428
