seed,arm,anchor,method,rank_cap,alpha,n,noise,fit_budget,representation,input_mode,r,k,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,0,0.0,0.0013402413857795774,-0.0,-0.001272544718531286
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,1,0.0,0.0013691310654786563,-0.0,-0.0013412806921087848
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,2,0.0,0.0012407590881189031,-0.0,-0.0011444716036818025
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,3,0.0,0.0012361441546520635,-0.0,-0.0011653527441397328
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,4,0.0,0.0010716253234169554,-0.0,-0.0011410000683823585
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,6,5,0.0,0.0010818133805473543,-0.0,-0.0011595392598880612
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,7,0,0.0,0.0011725401862637795,-0.0,0.0003820147653794473
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,7,1,0.0,0.001203682962057251,-0.0,0.0002630827434609272
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,7,2,0.0,0.001108162624298684,-0.0,0.0005149862840275488
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,7,3,0.0,0.0010943046604762082,-0.0,0.0005121573568338464
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,7,4,0.0,0.0009631582812321838,-0.0,0.00048177715994839054
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,7,5,0.0,0.0009715193702892576,-0.0,0.0004185549825317196
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,64,0,8,per_prompt,actual_d,0,23,8,0,0.0,0.0013402413857795774,-0.0,-0.001272544718531286
