seed,arm,anchor,n,noise,r,k,full_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_norm_mean,max_triangle_violation
301,X_BASE,8,exact,0,0,23,0.00011510849518488333,0.003866966861569355,0.0,0.003969150421134566,0.056834010360237525,0.05665972224413732,-8.390442379981045e-05
301,X_BASE,8,16,0,0,23,0.00011510849518488333,0.003866966861569355,0.0,0.003969150421134566,0.056834010360237525,0.05665972224413732,-8.390442379981045e-05
301,X_BASE,8,64,0,0,23,0.00011510849518488333,0.003866966861569355,0.0,0.003969150421134566,0.056834010360237525,0.05665972224413732,-8.390442379981045e-05
301,X_BASE,8,256,0,0,23,0.00011510849518488333,0.003866966861569355,0.0,0.003969150421134566,0.056834010360237525,0.05665972224413732,-8.390442379981045e-05
301,X_BASE,24,exact,0,0,20,0.00020735049267123912,0.010204627370993733,0.0,0.01039153886716536,0.15154337791931097,0.15128127538340874,-0.00015404159008966523
301,X_BASE,24,16,0,0,20,0.00020735049267123912,0.010204627370993733,0.0,0.01039153886716536,0.15154337791931097,0.15128127538340874,-0.00015404159008966523
301,X_BASE,24,64,0,0,20,0.00020735049267123912,0.010204627370993733,0.0,0.01039153886716536,0.15154337791931097,0.15128127538340874,-0.00015404159008966523
301,X_BASE,24,256,0,0,20,0.00020735049267123912,0.010204627370993733,0.0,0.01039153886716536,0.15154337791931097,0.15128127538340874,-0.00015404159008966523
301,X_BASE,40,exact,0,0,11,0.0002871440207509044,0.0057135746848109995,0.0,0.005561844444778411,0.08748560726676784,0.08109088510588215,-0.004760785343051521
301,X_BASE,40,16,0,0,11,0.0002871440207509044,0.0057135746848109995,0.0,0.005561844444778411,0.08748560726676784,0.08109088510588215,-0.004760785343051521
301,X_BASE,40,64,0,0,11,0.0002871440207509044,0.0057135746848109995,0.0,0.005561844444778411,0.08748560726676784,0.08109088510588215,-0.004760785343051521
301,X_BASE,40,256,0,0,11,0.0002871440207509044,0.0057135746848109995,0.0,0.005561844444778411,0.08748560726676784,0.08109088510588215,-0.004760785343051521
301,X_VALID,8,exact,0,0,14,8.907056970059459e-05,0.005868153217072535,0.0,0.005803106922918901,0.08720590872296545,0.08492374378364374,-0.001919898625963784
301,X_VALID,8,16,0,0,14,8.907056970059459e-05,0.005868153217072535,0.0,0.005803106922918901,0.08720590872296545,0.08492374378364374,-0.001919898625963784
301,X_VALID,8,64,0,0,14,8.907056970059459e-05,0.005868153217072535,0.0,0.005803106922918901,0.08720590872296545,0.08492374378364374,-0.001919898625963784
301,X_VALID,8,256,0,0,14,8.907056970059459e-05,0.005868153217072535,0.0,0.005803106922918901,0.08720590872296545,0.08492374378364374,-0.001919898625963784
301,X_VALID,24,exact,0,0,9,5.130199828229941e-05,0.00191021337304951,0.0,0.0018640621358880375,0.028531787175918782,0.027092100704508525,-0.0012746841539627955
