method,rank_cap,alpha,n,fit_budget,representation,input_mode,group,level_pX_mae,level_v_mae,projected_level_pX_mae,projected_level_v_mae,delta_pX_mae,delta_v_mae,delta_pX_q95,delta_v_q95,panel,noise_replicas,noise_indices,block_count,training_seed_count,paired_block_coverage
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,2,0.00018741657438285314,0.0007215896817510924,0.0001874165743828535,0.0007215896817510922,0.00018741657438285308,0.0007215896817510924,0.0007565690049092331,0.002727412225570117,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,3,0.00019641316088361895,0.0007231274746373715,0.0001964131608836182,0.0007231274746373711,0.00019641316088361892,0.0007231274746373713,0.0007786039167326983,0.002724504918841346,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,4,0.00019162827479405215,0.000719380062734558,0.00019162827479405026,0.0007193800627345586,0.0001916282747940521,0.000719380062734558,0.0007683167382967464,0.002807774260973869,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,8,per_prompt,actual_d,5,0.00019912918318253705,0.0007204585616552053,0.00019912918318253558,0.0007204585616552061,0.00019912918318253697,0.0007204585616552053,0.0007755534998202862,0.0028185744459315377,robust,1,[0],60,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,0,0.00756682570844688,0.0063224813438826225,0.00756682570844688,0.0063224813438826225,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,1,0.0075636675916795635,0.0061287588721919105,0.0075636675916795635,0.0061287588721919105,0.0010380733302923564,0.0026824931933317696,0.0024270577129933196,0.0063065111954534805,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,2,0.008293318196481147,0.006584102242010126,0.008293318196481147,0.006584102242010126,0.0010056442340555798,0.0027069065980697363,0.0023260998003693883,0.006374979293392444,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,3,0.007810886079651469,0.006629211831185826,0.007810886079651469,0.006629211831185826,0.0010158040448788616,0.002758363693844634,0.002371451284482701,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,4,0.007459336257835549,0.006193003645970568,0.007459336257835549,0.006193003645970568,0.0009525213079671415,0.002675358199704587,0.002108164101801902,0.006386512534114926,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B0_PERSISTENCE,0,0.0,64,8,per_prompt,actual_d,5,0.007263868612395263,0.006535938360517771,0.007263868612395263,0.006535938360517771,0.0009611766479887744,0.0026869942953125334,0.002117578829285509,0.0063283696815081975,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,0,0.00756682570844688,0.0063224813438826225,0.00756682570844688,0.0063224813438826225,0.001031012981254595,0.002653818220769817,0.002415107563894735,0.006337517768275261,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,1,0.0075636675916795635,0.0061287588721919105,0.0075636675916795635,0.0061287588721919105,0.0010380733302923564,0.0026824931933317696,0.0024270577129933196,0.0063065111954534805,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,2,0.008293318196481147,0.006584102242010126,0.008293318196481147,0.006584102242010126,0.0010056442340555798,0.0027069065980697363,0.0023260998003693883,0.006374979293392444,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,3,0.007810886079651469,0.006629211831185826,0.007810886079651469,0.006629211831185826,0.0010158040448788616,0.002758363693844634,0.002371451284482701,0.006394995810945838,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,4,0.007459336257835549,0.006193003645970568,0.007459336257835549,0.006193003645970568,0.0009525213079671415,0.002675358199704587,0.002108164101801902,0.006386512534114926,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_WORST_GROUP_RANK,0,0.0,64,8,per_prompt,actual_d,5,0.007263868612395263,0.006535938360517771,0.007263868612395263,0.006535938360517771,0.0009611766479887744,0.0026869942953125334,0.002117578829285509,0.0063283696815081975,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,0,0.0031941525904951975,0.0024177290749021426,0.0031896814286189977,0.0024151275755599647,0.008241915462064138,0.0065084829531572635,0.019781136851286314,0.018448133364832073,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,1,0.0030843280634957476,0.002504726409222286,0.003082660526918308,0.0024996516320046546,0.007701179383955464,0.006067362646607064,0.019651546217441092,0.017256694643816736,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,2,0.0029749966262629943,0.0025265437521333083,0.002970775986250181,0.002522267453449946,0.008481314918166278,0.006464255901997731,0.020735742191349382,0.01784680964869289,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,3,0.0030767992206821404,0.0026571477020808404,0.0030676880587107774,0.0026482238042510966,0.008234906047397251,0.0064370454328362674,0.019600853675778282,0.01755851405887104,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,4,0.003287867797918349,0.002281175798387917,0.0032848444664158745,0.0022776140232084667,0.007745605798086827,0.0061394313860681365,0.019449179732573343,0.0166239082519489,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B6_FULL_Q_RIDGE,FULL,0.01,64,8,per_prompt,actual_d,5,0.003250270480307541,0.0025054133318486798,0.0032393041563241964,0.0024973947585052573,0.00787293877672542,0.006540183548573648,0.018095861769365385,0.01852030196692792,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,0,0.005039597628415285,0.003909208723420175,0.005017476478510239,0.0038868586224456137,0.004976515271969461,0.0045493623624507104,0.01600801304485532,0.014227833132486465,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,1,0.0048917944804067635,0.004081737406101778,0.004882743684915307,0.004084330383850427,0.004771188533465882,0.004196597608743348,0.014647937491720683,0.012464399270486965,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,2,0.005328325105958343,0.004007396724168514,0.005316681211181568,0.004004276717930198,0.004869974020684107,0.004660461899144084,0.015127880780504319,0.013960207271888351,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,3,0.0049749840701957815,0.004375362249993511,0.004953643701897056,0.004353389187757225,0.005042597406373309,0.004488702636756106,0.01605620101064511,0.012233370956393853,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,8,per_prompt,actual_d,4,0.005129731596556448,0.004001262002991026,0.005107921427021436,0.003993575167555759,0.004689706656000486,0.004267877382864776,0.014825438176135597,0.011998967458280118,robust,5,"[0, 1, 2, 3, 4]",300,10,MATCHES_B0_EXACTLY
