seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,metric_space,full_J_rmse,low_J_rmse,direction_omission_rmse,fit_sampling_rmse,total_rmse,triangle_bound_mean,total_residual_norm_mean,frozen_model_reproduction_max_abs,source_frozen_record,vector_file
301,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,5.130199828229941e-05,0.0004166071541663635,0.00040812354805781233,0.0004163998058185881,0.0002767054539849666,0.012652598679668432,0.0032435899845856997,0.0,989,exact_rule_vectors/000989.npz
301,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,5.130199828229941e-05,0.0015041639928360011,0.0015507895320234922,0.03583208436162258,0.035807616031402076,0.5020340736286343,0.478504165778551,0.0,1031,exact_rule_vectors/001031.npz
301,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,5.130199828229941e-05,0.0015884762851045599,0.0016351205645808795,0.06267287022343056,0.06275045955290726,0.8588843127729516,0.8357961882195087,0.0,1140,exact_rule_vectors/001140.npz
301,X_VALID,24,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,5.130199828229941e-05,0.0015913595031428972,0.001638223192095719,0.016233285121554468,0.016167838636427168,0.23824942735441715,0.2148630170468414,0.0,1168,exact_rule_vectors/001168.npz
301,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,6.1035136964837286e-05,0.0003228709080612167,0.00032822967627217767,0.000358480491699302,0.0002738241340305705,0.010952994789327979,0.003570863836139477,0.0,1226,exact_rule_vectors/001226.npz
301,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,6.1035136964837286e-05,0.003497867505076738,0.0034965312149231012,0.04329850606997934,0.043229298649929755,0.678158135722679,0.6250755156284159,0.0,1268,exact_rule_vectors/001268.npz
301,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,16,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,6.1035136964837286e-05,0.0037009657826208154,0.003698723945818687,0.085966997042994,0.08622335005502231,1.3074058021574224,1.256093398435956,0.0,1377,exact_rule_vectors/001377.npz
301,X_VALID,40,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,256,0,1,9,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,6.1035136964837286e-05,0.003180671272132373,0.0031793552976913412,0.023336582493861665,0.02358496150384657,0.3888107714141454,0.345011200034888,0.0,1405,exact_rule_vectors/001405.npz
302,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,exact,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.90902956278168e-05,0.0022091149389149374,0.0021736734514361017,0.00010752351098404122,0.002202750282062359,0.033863060992639166,0.03230688493656478,0.0,1463,exact_rule_vectors/001463.npz
302,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,18,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,concatenated_per_prompt_helmert,4.90902956278168e-05,0.002607361071859774,0.0025710313277924656,0.03996281051592921,0.03979517055484178,0.6123358876737184,0.5716737385189993,0.0,1505,exact_rule_vectors/001505.npz
