seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,fit_budget,representation,elapsed_step,direction_omission_norm,fit_residual_norm,finite_step_nonlinearity_norm,total_residual_norm,triangle_upper_bound,triangle_bound_holds,vectors_file,jacobian_fixed_at_anchor
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,7,0.4064415663986794,0.0,0.10267350843462246,0.5009233982804769,0.5091150748333019,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,8,0.45504142883676363,0.0,0.13253712029520898,0.5772713092424506,0.5875785491319726,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,9,0.5003570984066517,0.0,0.16781051403962474,0.6557861136898635,0.6681676124462764,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,10,0.5508280612654062,0.0,0.21522908317784573,0.7515091323106857,0.7660571444432519,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,11,0.6098245773942556,0.0,0.2781485808769918,0.8708643655238969,0.8879731582712473,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,12,0.6570645550859194,0.0,0.3402898332635029,0.9777979658380043,0.9973543883494224,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,13,0.7055725641568293,0.0,0.410238782289815,1.093310512627544,1.1158113464466444,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,14,0.7582590116856202,0.0,0.4923205709255694,1.2247824156300182,1.2505795826111896,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,15,0.8165610560842727,0.0,0.5840691269687341,1.3707432408338476,1.4006301830530068,True,oracle_decomposition/005522.npz,True
301,X_BASE,8,B5_WORST_GROUP_RANK,0,0.0,exact,0,0,23,8,per_prompt_helmert,16,0.8751931578313927,0.0,0.6811754290354892,1.521999006075632,1.556368586866882,True,oracle_decomposition/005522.npz,True
