method,rank_cap,n,H,fit_budget_required,calibration_panels_required,cost_label,calibration_exact_compute_seconds,calibration_branch_seconds,calibration_counts_seconds,calibration_M2_output_io_seconds,frozen_fit_replay_seconds,refresh_full_panel_seconds,tracking_read_predict_output_seconds,dense_read_output_seconds,model_full_accounted_cpu_seconds,dense_full_accounted_cpu_seconds,model_minus_dense_seconds,all_included_cost_components,largest_tested_qualified_H,cpu_cost_evidence_status,real_Qwen_seconds
B5_WORST_GROUP_RANK,0,exact,1,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.0006769583172475299,0.0009842796390355363,0.01858527360309381,8.635764485613132e-05,0.0510116046720879,0.0010706372838916677,0.049940967388196235,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,exact,2,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.0006769583172475299,0.0009842796390355363,0.018611616522927456,0.00017271528971226263,0.05103794759192155,0.0021412745677833354,0.048896673024138214,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,exact,4,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.0006769583172475299,0.0009842796390355363,0.018664302362594754,0.00034543057942452526,0.051090633431588844,0.004282549135566671,0.04680808429602217,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,exact,8,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.0006769583172475299,0.0009842796390355363,0.018769674041929342,0.0006908611588490505,0.05119600511092343,0.008565098271133342,0.042630906839790095,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_WORST_GROUP_RANK,0,exact,16,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.0006769583172475299,0.0009842796390355363,0.018980417400598526,0.001381722317698101,0.05140674846959262,0.017130196542266683,0.034276551927325934,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,1,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.000664722368431588,0.0009842796390355363,0.01816304986035296,8.635764485613132e-05,0.050577144980531105,0.0010706372838916677,0.04950650769663944,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,4,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,2,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.000664722368431588,0.0009842796390355363,0.01822175208750802,0.00017271528971226263,0.05063584720768617,0.0021412745677833354,0.04849457263990284,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,4,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,4,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.000664722368431588,0.0009842796390355363,0.01833915654181813,0.00034543057942452526,0.050753251661996276,0.004282549135566671,0.046470702526429604,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,4,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,8,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.000664722368431588,0.0009842796390355363,0.01857396545043836,0.0006908611588490505,0.050988060570616514,0.008565098271133342,0.04242296229948317,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,4,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
B5_EXACT_SELECTED_DIAGNOSTIC,1,exact,16,8,24,ALLOCATED_ESTIMATE_WITH_MEASURED_REPLAY,0.0032439431196117554,0.007142381775858147,0.0,0.020378768217241116,0.000664722368431588,0.0009842796390355363,0.019043583267678816,0.001381722317698101,0.05145767838785696,0.017130196542266683,0.03432748184559028,exact panel + branch + counts + M2 write allocation + read + fit + predict + output serialization/fsync,4,ACCOUNTED_ALLOCATION_ESTIMATE_NOT_PER_CONFIGURATION_MEASUREMENT,
