seed,arm,anchor,method,rank_cap,alpha,n,noise,r,k,selection_source,branch,group,pred_delta_pX,true_delta_pX,pred_delta_v,true_delta_v,source_frozen_record
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,3,5,-0.0012731770638465627,0.001102348645788909,0.00041954548017409613,-6.538364830256198e-05,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,0,-0.0026752335103895873,0.0007234662773479688,0.025963041194834818,0.0032809396235646687,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,1,-0.01723601602077889,0.0007236926059369803,-0.006400882142053327,0.003253978920179805,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,2,-0.002566118787509383,0.0006634790599761818,0.0008909945096658376,0.00326609941794459,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,3,0.007657347523736017,0.000651134811768739,0.007833813700079859,0.003382364365686281,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,4,0.011122911693347731,0.0006094627390207495,-0.021485344888854938,0.0033259194060787,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,4,5,-0.002281435929689308,0.0006121258409768973,0.0007517934149050042,0.003343672893765489,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,5,0,-0.0023009059143194598,0.0012421114953220767,0.02233020587059544,0.0006107936810340562,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,5,1,-0.01482429516806544,0.0012264876559593477,-0.005505249362463142,0.0006612081090496408,83
301,X_BASE,8,B5_EXACT_SELECTED_DIAGNOSTIC,1,0.01,64,0,1,23,EXACT_MODEL_SELECTION_FROZEN_BEFORE_LOCKED_TEST,5,2,-0.002207058887419058,0.001132438003858419,0.0007663235859428757,0.0007168435819076627,83
