seed,arm,anchor,n,noise,r,k,raw_vs_helmert_max_abs,status,same_U_and_ridge_used
310,X_BASE,8,256,0,0,20,0.0,PASS,True
310,X_BASE,24,exact,0,0,21,0.0,PASS,True
310,X_BASE,24,16,0,0,21,0.0,PASS,True
310,X_BASE,24,64,0,0,21,0.0,PASS,True
310,X_BASE,24,256,0,0,21,0.0,PASS,True
310,X_BASE,40,exact,0,0,11,0.0,PASS,True
310,X_BASE,40,16,0,0,11,0.0,PASS,True
310,X_BASE,40,64,0,0,11,0.0,PASS,True
310,X_BASE,40,256,0,0,11,0.0,PASS,True
310,X_VALID,8,exact,0,0,20,0.0,PASS,True
310,X_VALID,8,16,0,0,20,0.0,PASS,True
310,X_VALID,8,64,0,0,20,0.0,PASS,True
310,X_VALID,8,256,0,0,20,0.0,PASS,True
310,X_VALID,24,exact,0,0,9,0.0,PASS,True
310,X_VALID,24,16,0,0,9,0.0,PASS,True
310,X_VALID,24,64,0,0,9,0.0,PASS,True
310,X_VALID,24,256,0,0,9,0.0,PASS,True
310,X_VALID,40,exact,0,0,8,0.0,PASS,True
310,X_VALID,40,16,0,0,8,0.0,PASS,True
310,X_VALID,40,64,0,0,8,0.0,PASS,True
310,X_VALID,40,256,0,0,8,0.0,PASS,True
