bank_id,selected_update_rank,auxiliary_update_rank_relative_to_joint_0,joint_0_joint_1_cosine,joint_0_joint_1_angle_degrees
bank00,1,0,1.0,0.0
bank03,2,1,0.8932135285042767,26.720122774687468
bank04,2,1,0.8702654161303796,29.51050277583288
bank05,2,1,0.9526149189669856,17.708772673276634
bank11,2,1,0.9979709438497072,3.650548513390535
