seed,arm,anchor,n,noise,r,k,fixed_checkpoint_prediction_noise_rmse,anchor_measurement_rmse,scope
304,X_BASE,40,256,0,0,13,0.0,0.023956421039533195,fixed path and checkpoint; n changes measurement only
304,X_VALID,8,16,0,0,16,0.0,0.08112560191171869,fixed path and checkpoint; n changes measurement only
304,X_VALID,8,64,0,0,16,0.0,0.03728926078102574,fixed path and checkpoint; n changes measurement only
304,X_VALID,8,256,0,0,16,0.0,0.019489375107051857,fixed path and checkpoint; n changes measurement only
304,X_VALID,24,16,0,0,10,0.0,0.06776472584376872,fixed path and checkpoint; n changes measurement only
304,X_VALID,24,64,0,0,10,0.0,0.03035590148009711,fixed path and checkpoint; n changes measurement only
304,X_VALID,24,256,0,0,10,0.0,0.015965988033229534,fixed path and checkpoint; n changes measurement only
304,X_VALID,40,16,0,0,11,0.0,0.06424088932274429,fixed path and checkpoint; n changes measurement only
304,X_VALID,40,64,0,0,11,0.0,0.03448111873333282,fixed path and checkpoint; n changes measurement only
304,X_VALID,40,256,0,0,11,0.0,0.015354831865831085,fixed path and checkpoint; n changes measurement only
305,X_BASE,8,16,0,0,21,0.0,0.09106962690226136,fixed path and checkpoint; n changes measurement only
305,X_BASE,8,64,0,0,21,0.0,0.04621047740336079,fixed path and checkpoint; n changes measurement only
305,X_BASE,8,256,0,0,21,0.0,0.020579413952079,fixed path and checkpoint; n changes measurement only
305,X_BASE,24,16,0,0,22,0.0,0.0883149104326682,fixed path and checkpoint; n changes measurement only
305,X_BASE,24,64,0,0,22,0.0,0.04998237567296657,fixed path and checkpoint; n changes measurement only
305,X_BASE,24,256,0,0,22,0.0,0.025609297128353237,fixed path and checkpoint; n changes measurement only
305,X_BASE,40,16,0,0,12,0.0,0.08501996178441275,fixed path and checkpoint; n changes measurement only
305,X_BASE,40,64,0,0,12,0.0,0.04596495997560384,fixed path and checkpoint; n changes measurement only
305,X_BASE,40,256,0,0,12,0.0,0.02423071366285486,fixed path and checkpoint; n changes measurement only
305,X_VALID,8,16,0,0,13,0.0,0.07565320533438338,fixed path and checkpoint; n changes measurement only
305,X_VALID,8,64,0,0,13,0.0,0.036856428130953536,fixed path and checkpoint; n changes measurement only
305,X_VALID,8,256,0,0,13,0.0,0.01970094814004693,fixed path and checkpoint; n changes measurement only
305,X_VALID,24,16,0,0,10,0.0,0.06687903145966698,fixed path and checkpoint; n changes measurement only
305,X_VALID,24,64,0,0,10,0.0,0.03003811519306229,fixed path and checkpoint; n changes measurement only
305,X_VALID,24,256,0,0,10,0.0,0.014693838121773623,fixed path and checkpoint; n changes measurement only
305,X_VALID,40,16,0,0,9,0.0,0.07071711087702671,fixed path and checkpoint; n changes measurement only
305,X_VALID,40,64,0,0,9,0.0,0.034333883486985566,fixed path and checkpoint; n changes measurement only
305,X_VALID,40,256,0,0,9,0.0,0.01630668185162993,fixed path and checkpoint; n changes measurement only
306,X_BASE,8,16,0,0,22,0.0,0.08377865143963606,fixed path and checkpoint; n changes measurement only
306,X_BASE,8,64,0,0,22,0.0,0.04443941844120644,fixed path and checkpoint; n changes measurement only
306,X_BASE,8,256,0,0,22,0.0,0.021702350280617667,fixed path and checkpoint; n changes measurement only
306,X_BASE,24,16,0,0,16,0.0,0.10040791818085336,fixed path and checkpoint; n changes measurement only
306,X_BASE,24,64,0,0,16,0.0,0.047637467035584836,fixed path and checkpoint; n changes measurement only
306,X_BASE,24,256,0,0,16,0.0,0.023086151386152356,fixed path and checkpoint; n changes measurement only
306,X_BASE,40,16,0,0,14,0.0,0.09069241754992965,fixed path and checkpoint; n changes measurement only
306,X_BASE,40,64,0,0,14,0.0,0.04768997900237085,fixed path and checkpoint; n changes measurement only
306,X_BASE,40,256,0,0,14,0.0,0.024201332258463187,fixed path and checkpoint; n changes measurement only
306,X_VALID,8,16,0,0,19,0.0,0.08765394195690998,fixed path and checkpoint; n changes measurement only
306,X_VALID,8,64,0,0,19,0.0,0.037179122702893565,fixed path and checkpoint; n changes measurement only
306,X_VALID,8,256,0,0,19,0.0,0.01982718214542311,fixed path and checkpoint; n changes measurement only
306,X_VALID,24,16,0,0,8,0.0,0.06525598383303044,fixed path and checkpoint; n changes measurement only
306,X_VALID,24,64,0,0,8,0.0,0.03215777034729033,fixed path and checkpoint; n changes measurement only
306,X_VALID,24,256,0,0,8,0.0,0.017695519059563507,fixed path and checkpoint; n changes measurement only
306,X_VALID,40,16,0,0,11,0.0,0.0653033897876151,fixed path and checkpoint; n changes measurement only
306,X_VALID,40,64,0,0,11,0.0,0.03188672205110077,fixed path and checkpoint; n changes measurement only
306,X_VALID,40,256,0,0,11,0.0,0.014157216752149381,fixed path and checkpoint; n changes measurement only
307,X_BASE,8,16,0,0,23,0.0,0.0831583479827247,fixed path and checkpoint; n changes measurement only
307,X_BASE,8,64,0,0,23,0.0,0.049688608643315556,fixed path and checkpoint; n changes measurement only
307,X_BASE,8,256,0,0,23,0.0,0.022748894438812242,fixed path and checkpoint; n changes measurement only
307,X_BASE,24,16,0,0,18,0.0,0.09574197310522886,fixed path and checkpoint; n changes measurement only
307,X_BASE,24,64,0,0,18,0.0,0.046044718104547765,fixed path and checkpoint; n changes measurement only
307,X_BASE,24,256,0,0,18,0.0,0.022124228577940552,fixed path and checkpoint; n changes measurement only
307,X_BASE,40,16,0,0,17,0.0,0.09429524406926203,fixed path and checkpoint; n changes measurement only
307,X_BASE,40,64,0,0,17,0.0,0.04879173563575828,fixed path and checkpoint; n changes measurement only
307,X_BASE,40,256,0,0,17,0.0,0.022941519957483683,fixed path and checkpoint; n changes measurement only
307,X_VALID,8,16,0,0,17,0.0,0.08805259843315463,fixed path and checkpoint; n changes measurement only
307,X_VALID,8,64,0,0,17,0.0,0.04149093882697644,fixed path and checkpoint; n changes measurement only
307,X_VALID,8,256,0,0,17,0.0,0.019196414336074892,fixed path and checkpoint; n changes measurement only
307,X_VALID,24,16,0,0,8,0.0,0.0598590183237885,fixed path and checkpoint; n changes measurement only
307,X_VALID,24,64,0,0,8,0.0,0.02941929653480943,fixed path and checkpoint; n changes measurement only
307,X_VALID,24,256,0,0,8,0.0,0.015041288471459729,fixed path and checkpoint; n changes measurement only
307,X_VALID,40,16,0,0,12,0.0,0.07104586005115737,fixed path and checkpoint; n changes measurement only
307,X_VALID,40,64,0,0,12,0.0,0.038476982695830525,fixed path and checkpoint; n changes measurement only
307,X_VALID,40,256,0,0,12,0.0,0.0161841014519222,fixed path and checkpoint; n changes measurement only
308,X_BASE,8,16,0,0,15,0.0,0.08119932147891476,fixed path and checkpoint; n changes measurement only
308,X_BASE,8,64,0,0,15,0.0,0.04485399392563926,fixed path and checkpoint; n changes measurement only
308,X_BASE,8,256,0,0,15,0.0,0.02028748634757538,fixed path and checkpoint; n changes measurement only
308,X_BASE,24,16,0,0,20,0.0,0.09050408705720986,fixed path and checkpoint; n changes measurement only
308,X_BASE,24,64,0,0,20,0.0,0.04472410494422774,fixed path and checkpoint; n changes measurement only
308,X_BASE,24,256,0,0,20,0.0,0.023545908428596767,fixed path and checkpoint; n changes measurement only
308,X_BASE,40,16,0,0,15,0.0,0.09839667466905924,fixed path and checkpoint; n changes measurement only
308,X_BASE,40,64,0,0,15,0.0,0.04838760197143108,fixed path and checkpoint; n changes measurement only
308,X_BASE,40,256,0,0,15,0.0,0.023361413572334122,fixed path and checkpoint; n changes measurement only
308,X_VALID,8,16,0,0,18,0.0,0.08384554613332243,fixed path and checkpoint; n changes measurement only
