method,rank_cap,n,telemetry,H,seed,level_mae,projected_level_mae,delta_mae,projected_delta_mae,raw_invalid_fraction,near_zero_prompt_fraction,delta_error_ss,delta_truth_ss,response_nrmse,sample_count,level_rmse,projected_level_rmse,delta_rmse,projected_delta_rmse,mean_block_prompt_abs_error_q95,group_delta_pX_q95_max,group_delta_v_q95_max,projected_response_nrmse
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,1,301,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0,0.8657407407407408,0.05343179500340794,0.05343179500340794,1.0,6,0.005560681402850663,0.005560681402850665,0.005560681402850663,0.005560681402850665,0.008303747015335362,0.0023861569403002096,0.006539227752609402,1.0000000000000002
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,1,301,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0035045167205679864,0.0,0.8657407407407408,0.05343179500340794,0.05343179500340794,1.0,6,0.005560681402850663,0.005560681402850665,0.005560681402850663,0.005560681402850665,0.008303747015335362,0.0023861569403002096,0.006539227752609402,1.0000000000000002
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,2,301,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.0,0.7534722222222222,0.2689153704866663,0.2689153704866663,1.0,12,0.008821063452993846,0.008821063452993848,0.008821063452993846,0.008821063452993848,0.015004632880774353,0.003977994376296623,0.01121583079259355,1.0
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,2,301,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.005218383876880309,0.0,0.7534722222222222,0.2689153704866663,0.2689153704866663,1.0,12,0.008821063452993846,0.008821063452993848,0.008821063452993846,0.008821063452993848,0.015004632880774353,0.003977994376296623,0.01121583079259355,1.0
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,4,301,0.00846974471228304,0.00846974471228304,0.00846974471228304,0.00846974471228304,0.0,0.6302083333333334,1.498372749581175,1.498372749581175,1.0,24,0.014723398552230801,0.014723398552230801,0.014723398552230801,0.014723398552230801,0.025553483643926563,0.00766188929137253,0.020014025153755374,1.0
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,4,301,0.00846974471228304,0.00846974471228304,0.00846974471228304,0.00846974471228304,0.0,0.6302083333333334,1.498372749581175,1.498372749581175,1.0,24,0.014723398552230801,0.014723398552230801,0.014723398552230801,0.014723398552230801,0.025553483643926563,0.00766188929137253,0.020014025153755374,1.0
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,8,301,0.014421353217777317,0.014421353217777317,0.014421353217777317,0.014421353217777317,0.0,0.49855324074074076,9.171674858572949,9.171674858572949,1.0,48,0.025757722652202553,0.025757722652202556,0.025757722652202553,0.025757722652202556,0.04494105794057617,0.014459460412660167,0.03965644044070364,1.0
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,8,301,0.014421353217777317,0.014421353217777317,0.014421353217777317,0.014421353217777317,0.0,0.49855324074074076,9.171674858572949,9.171674858572949,1.0,48,0.025757722652202553,0.025757722652202556,0.025757722652202553,0.025757722652202556,0.04494105794057617,0.014459460412660167,0.03965644044070364,1.0
B0_PERSISTENCE,0,exact,PROJECTION_AND_PATH,16,301,0.028231792200178768,0.028231792200178768,0.028231792200178768,0.028231792200178768,0.0,0.3599537037037037,74.24316995548273,74.24316995548273,1.0,96,0.05181987880385613,0.05181987880385613,0.05181987880385613,0.05181987880385613,0.09702948198928363,0.027485720765413828,0.06340994797619914,1.0
B0_PERSISTENCE,0,exact,PROJECTION_AND_NET_DISPLACEMENT,16,301,0.028231792200178768,0.028231792200178768,0.028231792200178768,0.028231792200178768,0.0,0.3599537037037037,74.24316995548273,74.24316995548273,1.0,96,0.05181987880385613,0.05181987880385613,0.05181987880385613,0.05181987880385613,0.09702948198928363,0.027485720765413828,0.06340994797619914,1.0
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_PATH,1,301,0.000335404843571007,0.00033540484357100756,0.00033540484357100697,0.00033540484357100746,0.0,0.8657407407407408,0.0004304073656820539,0.05343179500340794,0.08975113829266854,6,0.0004990774855887196,0.0004990774855887207,0.00049907748558872,0.0004990774855887206,0.0008878329553160866,0.00023486663053619078,0.0007026953989565357,0.08975113829266865
B6_FULL_Q_RIDGE,FULL,exact,PROJECTION_AND_NET_DISPLACEMENT,1,301,0.000335404843571007,0.00033540484357100756,0.00033540484357100697,0.00033540484357100746,0.0,0.8657407407407408,0.0004304073656820539,0.05343179500340794,0.08975113829266854,6,0.0004990774855887196,0.0004990774855887207,0.00049907748558872,0.0004990774855887206,0.0008878329553160866,0.00023486663053619078,0.0007026953989565357,0.08975113829266865
