state_id,arm,p,rewards,K,eta,epsilon,method,count_vectors,weight_sum,maximum_group_update_sum_error,H_K,Xi_K,zero_variance_probability,no_X_probability,contains_X_probability,contains_S_probability,contains_I_probability,X_binary_informative_probability,exact_p_next,delta_p,B_eta_K,ode_drift,first_order_p_next,second_order_p_next,first_order_error,second_order_error,q_initial,expected_q_next,pooled_q_next,expected_delta_q,pooled_delta_q
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",2,0.001,0.0001,exact_multinomial_enumeration,10,1.0,0.0,"[0.015999999920000008,0.14399999928000004,-0.0599999997,-0.09999999950000003]","[[0.007999999920000004,0.0,-0.0029999999699999997,-0.004999999950000004],[0.0,0.07199999928000002,-0.02699999973,-0.04499999955000002],[-0.0029999999699999997,-0.02699999973,0.029999999700000002,0.0],[-0.004999999950000004,-0.04499999955000002,0.0,0.04999999950000002]]",0.6799999999999999,0.9603999999999999,0.03960000000000008,0.3275999999999999,0.75,0.039200000000000124,"[0.020001155001227407,0.18003344336306376,0.29999452612264726,0.4999708755130616]","[1.155001227406277e-06,3.3443363063767606e-05,-5.473877352724088e-06,-2.912448693842551e-05]","[1.155001227406277e-06,3.3443363063767606e-05,-5.473877352724088e-06,-2.912448693842551e-05]","[0.0011551999942240004,0.03343679983281601,-0.005471999972639995,-0.02911999985440001]","[0.020001155199994226,0.1800334367998328,0.29999452800002735,0.4999708800001456]","[0.020001155001274227,0.18003344336335272,0.29999452612322736,0.49997087551214564]",8.17153522964257e-09,1.1230018631732091e-12,0.04,0.039999980467798804,0.03999998004466212,-1.9532201196714727e-08,-1.995533788212711e-08
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",2,0.01,0.0001,exact_multinomial_enumeration,10,1.0,0.0,"[0.015999999920000008,0.14399999928000004,-0.0599999997,-0.09999999950000003]","[[0.007999999920000004,0.0,-0.0029999999699999997,-0.004999999950000004],[0.0,0.07199999928000002,-0.02699999973,-0.04499999955000002],[-0.0029999999699999997,-0.02699999973,0.029999999700000002,0.0],[-0.004999999950000004,-0.04499999955000002,0.0,0.04999999950000002]]",0.6799999999999999,0.9603999999999999,0.03960000000000008,0.3275999999999999,0.75,0.039200000000000124,"[0.02001153208122979,0.18033502405842008,0.2999450917404902,0.4997083521198599]","[1.1532081229788382e-05,0.0003350240584200914,-5.490825950976719e-05,-0.0002916478801400779]","[1.1532081229788382e-05,0.0003350240584200914,-5.490825950976719e-05,-0.0002916478801400779]","[0.0011551999942240004,0.03343679983281601,-0.005471999972639995,-0.02911999985440001]","[0.02001155199994224,0.18033436799832817,0.2999452800002736,0.499708800001456]","[0.020011532127942436,0.18033502435032162,0.2999450923202755,0.4997083512014605]",8.16609618768542e-07,1.1256096218034123e-09,0.04,0.039999774743063744,0.039999732488086935,-2.2525693625652377e-07,-2.675119130657322e-07
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",2,0.05,0.0001,exact_multinomial_enumeration,10,1.0,0.0,"[0.015999999920000008,0.14399999928000004,-0.0599999997,-0.09999999950000003]","[[0.007999999920000004,0.0,-0.0029999999699999997,-0.004999999950000004],[0.0,0.07199999928000002,-0.02699999973,-0.04499999955000002],[-0.0029999999699999997,-0.02699999973,0.029999999700000002,0.0],[-0.004999999950000004,-0.04499999955000002,0.0,0.04999999950000002]]",0.6799999999999999,0.9603999999999999,0.03960000000000008,0.3275999999999999,0.75,0.039200000000000124,"[0.02005725742254952,0.18168821066989393,0.2997216357455995,0.49853289616195706]","[5.725742254952121e-05,0.0016882106698939414,-0.0002783642544004761,-0.001467103838042938]","[5.725742254952121e-05,0.0016882106698939414,-0.0002783642544004761,-0.001467103838042938]","[0.0011551999942240004,0.03343679983281601,-0.005471999972639995,-0.02911999985440001]","[0.0200577599997112,0.1816718399916408,0.29972640000136797,0.49854400000728]","[0.02005726319971617,0.18168824879147671,0.2997217080014149,0.4985327800073922]",2.035301462324528e-05,1.421246513522179e-07,0.04,0.039998204686342326,0.03999715488621033,-1.7953136576751016e-06,-2.845113789673448e-06
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",4,0.001,0.0001,exact_multinomial_enumeration,35,1.0,0.0,"[0.02652471262231795,0.2387224136008617,-0.09946767233369234,-0.16577945388948737]","[[0.009983999873919997,0.0020159999788799993,-0.004499999944799998,-0.007499999907999998],[0.0020159999788799993,0.10598399869632003,-0.04049999950319999,-0.067499999172],[-0.004499999944799998,-0.04049999950319999,0.028499999652999996,0.016499999794999994],[-0.007499999907999998,-0.067499999172,0.016499999794999994,0.058499999285000014]]",0.41120000000000007,0.9223681599999999,0.07763184000000012,0.5478782399999998,0.9375,0.07763168000000009,"[0.02000191488129074,0.1800554421625742,0.2999909240944437,0.4999517188616911]","[1.9148812907404666e-06,5.544216257419299e-05,-9.07590555626614e-06,-4.828113830890324e-05]","[1.9148812907404666e-06,5.544216257419299e-05,-9.07590555626614e-06,-4.828113830890324e-05]","[0.0019150842513313577,0.055431344438120096,-0.009071451716832725,-0.04827497697261872]","[0.02000191508425133,0.1800554313444381,0.29999092854828313,0.49995172502302737]","[0.02000191488135994,0.18005544216253705,0.2999909240950803,0.49995171886102263]",1.32239181576299e-08,9.264315003639185e-13,0.04,0.03999996757423697,0.03999996727467682,-3.242576303297273e-08,-3.272532318049359e-08
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",4,0.01,0.0001,exact_multinomial_enumeration,35,1.0,0.0,"[0.02652471262231795,0.2387224136008617,-0.09946767233369234,-0.16577945388948737]","[[0.009983999873919997,0.0020159999788799993,-0.004499999944799998,-0.007499999907999998],[0.0020159999788799993,0.10598399869632003,-0.04049999950319999,-0.067499999172],[-0.004499999944799998,-0.04049999950319999,0.028499999652999996,0.016499999794999994],[-0.007499999907999998,-0.067499999172,0.016499999794999994,0.058499999285000014]]",0.41120000000000007,0.9223681599999999,0.07763184000000012,0.5478782399999998,0.9375,0.07763168000000009,"[0.020019130484217922,0.1805553952881006,0.2999088395269975,0.49951663470068397]","[1.913048421792185e-05,0.000555395288100613,-9.116047300250507e-05,-0.0004833652993160298]","[1.913048421792185e-05,0.000555395288100613,-9.116047300250507e-05,-0.0004833652993160298]","[0.0019150842513313577,0.055431344438120096,-0.009071451716832725,-0.04827497697261872]","[0.020019150842513316,0.1805543134443812,0.2999092854828317,0.4995172502302738]","[0.02001913055337436,0.18055539525427508,0.2999088401625492,0.4995166340298014]",1.322328845436434e-06,9.273274480311296e-10,0.04,0.03999962208080783,0.03999959213878248,-3.779191921696179e-07,-4.078612175217877e-07
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",4,0.05,0.0001,exact_multinomial_enumeration,35,1.0,0.0,"[0.02652471262231795,0.2387224136008617,-0.09946767233369234,-0.16577945388948737]","[[0.009983999873919997,0.0020159999788799993,-0.004499999944799998,-0.007499999907999998],[0.0020159999788799993,0.10598399869632003,-0.04049999950319999,-0.067499999172],[-0.004499999944799998,-0.04049999950319999,0.028499999652999996,0.016499999794999994],[-0.007499999907999998,-0.067499999172,0.016499999794999994,0.058499999285000014]]",0.41120000000000007,0.9223681599999999,0.07763184000000012,0.5478782399999998,0.9375,0.07763168000000009,"[0.02009523837001948,0.18279861478486883,0.2995352155306256,0.4975709313144859]","[9.52383700194813e-05,0.0027986147848688414,-0.00046478446937436857,-0.002429068685514124]","[9.52383700194813e-05,0.0027986147848688414,-0.00046478446937436857,-0.002429068685514124]","[0.0019150842513313577,0.055431344438120096,-0.009071451716832725,-0.04827497697261872]","[0.02009575421256657,0.182771567221906,0.2995464274141584,0.49758625115136906]","[0.020095246984092638,0.18279861246925339,0.2995352944070958,0.49757084613955815]",3.304906186629305e-05,1.1642950739875784e-07,0.04,0.0399969168255275,0.039996169852580164,-3.0831744724998944e-06,-3.83014741983656e-06
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",8,0.001,0.0001,exact_multinomial_enumeration,165,1.0000000000000004,5.551115123125783e-17,"[0.033707664144766426,0.30336897730289797,-0.12640374054287407,-0.21067290090479013]","[[0.008512563056617708,0.005487436735325977,-0.0052499999219788795,-0.008749999869964812],[0.005487436735325977,0.12051256139216716,-0.04724999929780994,-0.07874999882968325],[-0.0052499999219788795,-0.04724999929780993,0.025546799624562744,0.026953199595226063],[-0.008749999869964808,-0.07874999882968325,0.026953199595226063,0.060546799104422]]",0.16777472000000004,0.8507630225817855,0.1492369774182145,0.7955859141345023,0.99609375,0.14923697741818887,"[0.020002433475297822,0.1800704552471471,0.299988466067137,0.49993864521041853]","[2.4334752978215357e-06,7.045524714710538e-05,-1.153393286296156e-05,-6.135478958146923e-05]","[2.4334752978215357e-06,7.045524714710538e-05,-1.153393286296156e-05,-6.135478958146923e-05]","[0.002433693351252135,0.0704422765297329,-0.011528021137510124,-0.061347948743474906]","[0.02000243369335125,0.1800704422765297,0.29998847197886247,0.49993865205125654]","[0.020002433475385436,0.1800704552469135,0.29998846606771573,0.49993864520998527]",1.5812337746591434e-08,7.647595130596772e-13,0.04,0.039999958746252326,0.039999958572512644,-4.125374767488532e-08,-4.142748735724844e-08
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",8,0.01,0.0001,exact_multinomial_enumeration,165,1.0000000000000004,5.551115123125783e-17,"[0.033707664144766426,0.30336897730289797,-0.12640374054287407,-0.21067290090479013]","[[0.008512563056617708,0.005487436735325977,-0.0052499999219788795,-0.008749999869964812],[0.005487436735325977,0.12051256139216716,-0.04724999929780994,-0.07874999882968325],[-0.0052499999219788795,-0.04724999929780993,0.025546799624562744,0.026953199595226063],[-0.008749999869964808,-0.07874999882968325,0.026953199595226063,0.060546799104422]]",0.16777472000000004,0.8507630225817855,0.1492369774182145,0.7955859141345023,0.99609375,0.14923697741818887,"[0.02002431504930107,0.18070572003378996,0.2998841280963718,0.4993858368205376]","[2.4315049301070618e-05,0.0007057200337899638,-0.00011587190362816191,-0.0006141631794623903]","[2.4315049301070618e-05,0.0007057200337899638,-0.00011587190362816191,-0.0006141631794623903]","[0.002433693351252135,0.0704422765297329,-0.011528021137510124,-0.061347948743474906]","[0.02002433693351252,0.18070442276529733,0.2998847197886249,0.49938652051256527]","[0.020024315136930843,0.18070571980367608,0.2998841286739527,0.4993858363854404]",1.5814294077569705e-06,7.63898317602638e-10,0.04,0.03999951503698054,0.039999497661281004,-4.849630194578292e-07,-5.023387189967421e-07
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",8,0.05,0.0001,exact_multinomial_enumeration,165,1.0000000000000004,5.551115123125783e-17,"[0.033707664144766426,0.30336897730289797,-0.12640374054287407,-0.21067290090479013]","[[0.008512563056617708,0.005487436735325977,-0.0052499999219788795,-0.008749999869964812],[0.005487436735325977,0.12051256139216716,-0.04724999929780994,-0.07874999882968325],[-0.0052499999219788795,-0.04724999929780993,0.025546799624562744,0.026953199595226063],[-0.008749999869964808,-0.07874999882968325,0.026953199595226063,0.060546799104422]]",0.16777472000000004,0.8507630225817855,0.1492369774182145,0.7955859141345023,0.99609375,0.14923697741818887,"[0.020121128797213304,0.18355456668384162,0.299408749521034,0.49691555499791157]","[0.00012112879721330391,0.003554566683841631,-0.0005912504789659656,-0.0030844450020884318]","[0.00012112879721330391,0.003554566683841631,-0.0005912504789659656,-0.0030844450020884318]","[0.002433693351252135,0.0704422765297329,-0.011528021137510124,-0.061347948743474906]","[0.020121684667562607,0.18352211382648664,0.2994235989431245,0.49693260256282623]","[0.02012113975302063,0.1835545397859557,0.29940882107631955,0.4969154993847041]",3.955529987609972e-05,9.516571712018116e-08,0.04,0.03999596415076424,0.03999552957183909,-4.03584923575756e-06,-4.470428160908979e-06
0,A_BASE,"[0.02,0.18,0.3,0.5]","[2.0,2.0,0.0,0.0]",16,0.001,0.0001,exact_multinomial_enumeration,969,1.000000000000002,1.1102230246251565e-16,"[0.03753874474478964,0.3378487027031074,-0.14077029279296138,-0.23461715465493563]","[[0.005841670214203664,0.009158329542833223,-0.0056249999088888395,-0.00937499984814807],[0.009158329542833223,0.125841668270499,-0.050624999179999616,-0.08437499863333271],[-0.005624999908888839,-0.050624999179999616,0.02402343711269962,0.03222656197618874],[-0.00937499984814807,-0.08437499863333271,0.03222656197618874,0.061523436505291886]]",0.02814749767761924,0.7237977205924956,0.2762022794075044,0.958214881499773,0.9999847412109375,0.2762022794075044,"[0.02000271004943796,0.18007846242612874,0.2999871551470687,0.49993167237736524]","[2.710049437960188e-06,7.846242612874477e-05,-1.2844852931293005e-05,-6.832762263475622e-05]","[2.710049437960188e-06,7.846242612874477e-05,-1.2844852931293005e-05,-6.832762263475622e-05]","[0.0027102973705738147,0.07844846876766152,-0.012838250702718082,-0.06832051543551726]","[0.020002710297370573,0.18007844846876767,0.2999871617492973,0.49993167948456446]","[0.02000271004953947,0.18007846242580727,0.29998715514760194,0.49993167237705133]",1.6999150033490403e-08,7.046501911279948e-13,0.04,0.039999953988692175,0.03999995389536553,-4.601130782627694e-08,-4.610463447130009e-08
