n,blocks,omission_mean_block_rmse,omission_pooled_rmse,fit_noise_mean_block_rmse,fit_noise_pooled_rmse,nonlinearity_mean_block_rmse,nonlinearity_pooled_rmse,total_mean_block_rmse,total_pooled_rmse,omission_fit_cosine
16,60,0.0049385103272154415,0.005803169261125697,0.057394769307808055,0.06417741990629078,0.00011656175759282688,0.00015785088181912528,0.05761849084836548,0.0642126477519282,-0.0393026858641511
256,60,0.004890679770187555,0.005753391868242229,0.01785893849558119,0.01955690700889114,0.00011656175759282688,0.00015785088181912528,0.018198667404996947,0.01958068503695262,-0.14436217223823772
64,60,0.004897180048524959,0.005767305183634848,0.032690619701051825,0.036371946193289095,0.00011656175759282688,0.00015785088181912528,0.03306548032850345,0.03649259391199214,-0.05927268893023857
exact,60,0.001773063385268427,0.0022185877354561575,0.001429797086312729,0.0018984340117652362,0.00011656175759282688,0.00015785088181912528,0.0010845382580581494,0.001394059853893639,-0.7900900426012123
